■頭部パーツ
○名称	チップ容量	重量	装甲	射撃補正	索敵	ロックオン	DEF回復	条件	素材・勲章	GP
クーガーI型	2.3	600	C+	C	D	C+	D+	初期装備	なし	0
クーガーII型	2.5	620	C+	C	C	D+	B-	クーガーI型／頭パーツを所持	ニュード素子x1 銀片x10	10
クーガーS型	1.8	630	C+	A-	D+	B+	C+	累計バトル時間80000秒以上。または17250pt以上、クーガーII型／頭パーツを所持	戦闘勝利章x10 ニュード集積体x3 黄金片x15	150
クーガーNX	1.9	650	B-	B	D	B-	D+	クーガーS型／頭パーツを所持	ニュード融素子x1 ニュード卵x25 カロラチップx1	350
ツェーブラ38	2.5	550	C	B+	B-	D+	D+	クラスD4で支給	なし	0
ツェーブラ39	2.8	570	C	B+	A-	E+	B	ツェーブラ38／頭パーツを所持	ニュード胚x20 メタモチップx1	50
ツェーブラ41	2.3	580	C	A	C	C+	D+	ツェーブラ39／頭パーツを所持	ニュード群体x2 ニュード集積体x1 銀片x20	150
ツェーブラ48C	2.5	600	C	A-	S	D	B-	ツェーブラ41／頭パーツを所持	?ニュード集積体x3 黄金片x10 カロラチップx1	250
エンフォーサーI型	2.4	540	C	B-	D	C+	C-	クラスB5で支給	なし	0
エンフォーサーII型	2.4	520	D+	B-	D	A+	C	エンフォーサーI型／頭パーツを所持	ニュード卵x15 メタモチップx2	50
エンフォーサーIII型	2.6	560	C	B-	C+	C	C-	エンフォーサーII型／頭パーツを所持	ニュード卵x10 ニュード群体x7 ソノチップx1	150
エンフォーサーX型	2.4	640	C+	B	C-	C+	D	エンフォーサーIII型／頭パーツを所持	ニュード融素子x2 銅片x10 高磁性アグミナx1	250
E.D.G.－α	3.3	550	E	A+	B	D+	A	累計バトル時間66000秒以上。または9000pt以上。	ニュード集積体x2 銀片x10	50
E.D.G.－β	3.5	560	E	S-	S-	E	A	E.D.G.-α／頭パーツを所持	ニュード胚x20 ニュード群体x2 メタモチップx1	100
E.D.G.－δ	3.2	570	E	A+	B-	C+	A-	E.D.G.-β／頭パーツを所持	ニュード素子x10 ニュード群体x5 メタモチップx1	200
E.D.G.－θ	3.0	560	E+	S	C+	C	B+	E.D.G.-δ／頭パーツを所持	奇襲章x3 ニュード融素子x2 黄金片x10 ペンタクル回路x5	300
ディスカス・プロト	1.9	700	B	B+	D-	C	C-	累計バトル時間36000秒以上。または7875pt以上。	ニュード素子x10 メタモチップx2	50
ディスカス・ダート	2.4	530	C	B+	C-	D	C+	ディスカス・プロト／頭パーツを所持	ニュード卵x20 ニュード群体x5 銀片x10	100
ディスカス・ノヴァ	2.1	770	B+	B	E+	C+	C	ディスカス・ダート／頭パーツを所持	ニュード卵x5 ニュード集積体x2 カロラチップx1	200
ディスカス・エヴォル	2.6	600	C	B	C+	B-	B-	ディスカス・ノヴァ／頭パーツを所持	ベースガード/金x3 ニュード胚x10 カロラチップx2 ロゼンジ重回路x3	300
ネレイド45	2.6	550	C	C	C	C+	C+	クラスB5で支給	なし	0
ネレイド45改	2.5	560	C	C	D+	A	C	ネレイド45／頭パーツを所持	ニュード卵x10 銀片x5 メタモチップx2	50
ネレイド46	2.8	580	C	B-	B-	D+	B	ネレイド45改／頭パーツを所持	ニュード融素子x1 銅片x10	150
ネレイドRT	2.6	600	C	A+	D-	D+	C+	ネレイド46／頭パーツを所持	オールマイティーx5 ニュード群体x10 ソノチップx3 モノリスＮＳＩx1	250
迅牙	3.0	580	D+	B	D+	B	B	累計バトル時間48000秒以上。または11250pt以上。	ニュード素子x5 ニュード集積体x2 黄金片x5	100
迅牙・甲	2.2	620	C+	B-	E+	A	B-	迅牙／頭パーツを所持	ニュード卵x15 ニュード群体x3 カロラチップx1	150
迅牙・真	3.3	650	D+	A	A-	C	B	迅牙・甲／頭パーツを所持	ニュード卵x5 ニュード融素子x2 銀片x5	250
迅牙・飛天	2.6	630	C	C+	D+	S	C+	迅牙・真／頭パーツを所持	連続勝利章x3 ニュード群体x5 カロラチップx2 破損ＩＣx5	350
雷花	2.9	510	D+	C+	B-	C	D	累計バトル時間74000秒以上。または累計スコア18375pt以上。	ニュード素子x10 ニュード集積体x1 ソノチップx5	150
雷花・燕	2.8	530	C-	C	B+	B-	D-	雷花／頭パーツを所持	ニュード群体x5 カロラチップx1 破損ＩＣx10	200
雷花・麗	2.5	560	C-	B+	D+	B-	C-	雷花・燕／頭パーツを所持	COMBO/銅x20 ニュード融素子x1 黄金片x20 ペンタクル回路x5	300
雷花・燐	2.6	540	C-	B-	C-	C	B	雷花・麗／頭パーツを所持	COMBO/銀x20 ニュード素子x20 ニュード集積体x2 カロラチップx1	400
グライフ65	2.7	560	D+	C	B+	D+	A	累計バトル時間152000秒以上。または累計スコア26250pt以上。	ニュード卵x10 銅片x10 黄金片x20	150
グライフ66	2.8	540	D+	C	A-	A	D-	グライフ65／頭パーツを所持	ニュード胚x20 銅片x20 破損ＩＣx20	200
グライフ65V	2.6	580	C-	C+	D+	C	A-	グライフ66／頭パーツを所持	オールマイティーx5 ニュード群体x10 破損ＩＣx5 モノリスＮＳＩx1	300
グライフ68G	2.5	620	C-	B	B-	E+	S-	グライフ65V／頭パーツを所持	グランドスラムx2 ニュード胚x20 ニュード結晶体x2 カロラチップx2	400
ザオレン	2.6	580	C	B	B-	C+	D+	?	ニュード素子x20 銅片x10 メタモチップx1	150
ザオレン・ガイ	2.6	630	C+	C+	B+	C	C-	ザオレン／頭パーツを所持	ニュード胚x15 カロチップx1 破損ＩＣx10	200
ザオレン・リアン	2.8	600	C-	A-	A	D+	C	ザオレン・ガイ／頭パーツを所持	ターレットスキル/銀x1 ニュード群体x5 銀片x20 モノリスＮＳＩx1	300
ザオレン・ダジアン	2.7	620	C	B-	B	B	D+	ザオレン・リアン／頭パーツを所持	ターレットスキル/金x1 ニュード融素子x2 ルミノチップx2 破損ＩＣx20	400
X－Ie	2.2	640	C+	B+	B-	C-	C+	?	ニュード素子x20 ハニカム回路x15	150
X－IIs	2.3	650	C+	S-	B	D	C+	X－Ie／頭パーツを所持	ニュード集積体x3 黄金片x15 ルミノチップx1	200
X－IIIcg	2.1	670	B-	C+	C	S-	C-	X－IIs／頭パーツを所持	戦闘勝利章x5 ニュード融素子x1 メタモチップx3 誘電ヘリックスx2	300
ヘヴィガードI型	2.4	800	A	E	D-	C+	C	D4クラスで支給	なし	0
ヘヴィガードIII型	2.1	850	A+	E+	E+	B+	C-	ヘヴィガードI型／頭パーツを所持	ニュード素子x5 ニュード群体x3 黄金片x10	50
ヘヴィガードIV型	2.3	800	A	D-	D	C	C+	ヘヴィガードIII型／頭パーツを所持	ニュード群体x2 黄金片x10 メタモチップx2	150
ヘヴィガードG型	2.1	840	A+	D+	D+	D+	C-	ヘヴィガードIV型／頭パーツを所持	ニュード素子x10 銀片x5 カロラチップx2	250
ケーファー42	2.6	750	B+	D-	D	B+	D+	累計バトル時間18000秒以上。または5625pt以上。	ニュード胚x30 ソノチップx3	50
ケーファー44	2.3	730	B+	D-	D-	A+	D+	ケーファー42／頭パーツを所持	ニュード集積体x3 銀片x5 黄金片x10	100
ケーファー45	2.4	770	B	C	D+	B	A-	ケーファー44／頭パーツを所持	ニュード卵x20 黄金片x10 メタモチップx3	200
ケーファー52	2.3	820	A-	C+	E+	B+	C-	ケーファー45／頭パーツを所持	占拠章x15 ニュード融素子x1 ソノチップx10 ハニカム回路x10	300
ロージーR	2.2	810	A+	E	D+	C	C-	累計バトル時間42000秒以上。または6750pt以上	ニュード卵x25 ニュード集積体x1 黄金片x5	50
ロージーR＋	2.2	880	A+	E	E	A+	C	ロージーR／頭パーツを所持	ニュード群体x3 ニュード融素子x1 銅片x15	100
ロージーLM	2.2	830	A+	D-	D	C+	D+	ロージーR+／頭パーツを所持	ニュード融素子x2 ソノチップx3	200
ロージーEVE	1.6	920	S	E	D-	E+	D+	ロージーLM／頭パーツを所持	プラントガード/銀x15 超剛性メタルx2 ニュード集積体x3 カロラチップx1	300
ランドバルクI型	2.3	710	B	C-	B-	C+	B-	累計バトル時間60000秒以上。または累計スコア13125pt以上。	ニュード集積体x3 銅片x20	100
ランドバルクII型	2.4	700	B	C	D	B+	D+	ランドバルクI型／頭パーツを所持	ニュード群体x5 ニュード融素子x1 銅片x10	150
ランドバルクIV型	2.6	750	B	B-	C+	D+	C+	ランドバルクII型／頭パーツを所持	ニュード卵x10 カロラチップx2	250
ランドバルクAT	2.0	800	A+	C-	C+	D	C-	ランドバルクIV型を所持	最優秀戦闘章x3 ニュード群体x5 メタモチップx3 モノリスＮＳＩx1	350
ヤーデ54	1.7	730	A-	C+	E+	C+	D-	累計バトル時間116000秒以上もしくは累計スコア16125pt以上(3.5AB準拠)で開放	ニュード胚x10 ソノチップx10	100
ヤーデ54S	2.0	780	A	C	C	D+	D+	ヤーデ54／頭パーツを所持	ニュード融素子x1 黄金片x10 ハニカム回路x10	200
ヤーデ55	1.6	740	A	B	E+	D	D-	ヤーデ54S／頭パーツを所持	破壊工作/銀x10 ニュード卵x5 カロラチップx2 ペンタクル回路x5	300
ヤーデVMT	1.7	790	A	C+	D-	B	D+	ヤーデ55／頭パーツを所持	破壊工作/金x1 ニュード融素子x1 カロラチップx1 破損ＩＣx25	400
ジーシェン	2.6	740	B	C-	B	B	C-	累計バトル時間122000秒以上または累計スコア22875pt以上	ニュード卵x15 黄金片x10 ソノチップx5	150
ジーシェン・フー	2.7	760	B+	D+	A-	C	C-	ジーシェン／頭パーツを所持	ニュード胚x20 カロラチップx1 ハニカム回路x5	200
ジーシェン・シー	2.4	770	A-	B+	B+	E+	D+	ジーシェン・フー／頭パーツを所持	施設破壊章x5 ニュード融素子x2 ソノチップx2 破損ＩＣx5	300
ジーシェン・パイロン	2.2	830	A	C-	B-	B-	B-	ジーシェン・シー／頭パーツを所持	防衛章x10 ニュード集積体x5 黄金片x3 モノリスＮＳＩx1	400
スペクターI型	2.4	730	B	C+	C+	C	C-	累計バトル時間128000秒以上。または累計スコア21750pt以上。	ニュード群体x10 ソノチップx2	150
スペクターI型C	2.2	760	B+	C	C	B	C	スペクターI型／頭パーツを所持	ニュード素子x10 黄金片x5 モノリスＮＳＩx1	200
スペクターIII型	2.3	780	A-	C-	D+	C	C-	スペクターI型C／頭パーツを所持	バトルアシスト/銀x10 ニュード融素子x1 銅片x10 高磁性アグミナx3	300
スペクターMRG	2.1	700	B	B	B-	D	C	スペクターIII型／頭パーツを所持	バトルアシスト/金x10 ニュード素子x10 モノリスＮＳＩx2 誘電ヘリックスx2	400
アイアンフォートI型	2.0	740	B+	A-	D-	C-	D-	?	ニュード胚x10 銀片x20 ペンタクル回路x10	150
アイアンフォートII型	2.3	760	B+	B-	E+	B-	E+	アイアンフォートI型／頭パーツを所持	最優秀戦闘章x1 ニュード卵x30 銀片x30 ルミノチップx1	200
アイアンフォートIV型	1.9	810	A	B	D+	C-	E+	アイアンフォートII型／頭パーツを所持	最優秀戦闘章x2 ニュード群体x15 ニュード結晶体x2 高磁性アグミナx1	810
シュライクI型	3.2	450	E	C	C-	B-	B+	クラスD4で支給	なし	0
シュライクII型	3.2	470	E	C	B	D+	A	シュライクI型／頭パーツを所持	ニュード胚x5 ニュード集積体x1 銅片x10	50
シュライクV型	2.7	450	E	B+	D	B+	C+	シュライクII型／頭パーツを所持	ニュード群体x1 ニュード集積体x1 銅片x20	150
シュライクW型	2.8	480	E+	A-	D-	B	C+	シュライクV型／頭パーツを所持	ニュード卵x25 ニュード融素子x1 カロラチップx1	250
ヤクシャ	1.9	500	D	B+	D	B	C-	累計バトル時間92000秒以上。または15000pt以上。	ニュード胚x20 ソノチップx1 メタモチップx1	150
ヤクシャ・改	1.7	500	D	B+	D-	A+	D+	ヤクシャ／頭パーツを所持	ニュード集積体x3 黄金片x10	250
ヤクシャ・弐	2.2	520	D-	A-	C-	C+	C+	ヤクシャ・改／頭パーツを所持	英雄章x2 ニュード集積体x2 銀片x15 カロラチップx1	350
ヤクシャ・零	2.2	550	D+	A	E	A-	D	ヤクシャ・弐／頭パーツを所持	連続勝利章x5　ニュード結晶体x2 カロラチップx2 ペンタクル回路x10	400
セイバーI型	3.1	480	D-	C-	A-	B+	B	累計バトル時間54000秒以上。または10125pt以上。	ニュード群体x2 ニュード集積体x1 銀片x15	50
セイバーI型R	3.0	490	D-	C-	B	A+	B-	セイバーI型／頭パーツを所持	ニュード群体x3 銅片x20 銀片x20	100
セイバーII型	3.1	530	D-	C	C+	A+	B-	セイバーI型R／頭パーツを所持	ニュード胚x15 ニュード融素子x1 黄金片x5	200
セイバーZX	2.8	540	D+	B-	A+	C-	C+	セイバーII型／頭パーツを所持	コアストライカーx10 ニュード胚x5 カロラチップx2 破損ＩＣx20	300
B.U.Z.－α	3.1	490	E	A-	C+	D+	A	累計バトル時間98000秒以上もしくは累計スコア13875pt以上で開放	ニュード胚x10 ニュード群体x5 ソノチップx5	100
B.U.Z.－β	3.4	520	E	A	A+	E+	A-	B.U.Z.-α／頭パーツを所持	ニュード卵x20 ニュード集積体x1 カロラチップx1	150
B.U.Z.－γ	2.7	500	E	A+	D	B	B+	B.U.Z.-β／頭パーツを所持	マルチスコアラー/銀x20 ニュード素子x5 ニュード融素子x3 ペンタクル回路x5	250
B.U.Z.－λ	2.8	520	E+	S-	B	D	B	B.U.Z.-γ／頭パーツを所持	マルチスコアラー/金x5 ニュード融素子x2 ソノチップx1 カロラチップx1	350
フォーミュラII型	2.9	530	D-	B	D+	B+	B	累計バトル時間104000秒以上。または累計スコア20625pt以上。	ニュード集積体x2 銅片x10 ソノチップx5	100
フォーミュラII型C	2.7	510	D-	B+	D	A-	C+	フォーミュラII型／頭パーツを所持	ニュード卵x10 ニュード融素子x1 ソノチップx5	200
フォーミュラF型	2.9	550	D-	B+	B	C+	B+	フォーミュラII型C／頭パーツを所持	白銀武勲x30 ニュード群体x10 銅片x5 カロラチップx1	300
フォーミュラMST	2.7	540	D	A	D	B-	C+	フォーミュラF型を所持	黄金武勲x3 ニュード結晶体x2 ペンタクル回路x25 モノリスＮＳＩx1	400
アスラ	2.6	470	E	A+	D	B-	B+	累計バトル時間110000秒以上もしくは累計スコア19500pt以上(3.5AB準拠)で開放	ニュード卵x20 ニュード胚x10 メタモチップx2	150
アスラ・弐	2.5	460	E	A+	E	A-	B-	アスラ／頭パーツを所持	ニュード素子x10 カロラチップx1 ロゼンジ重回路x2	250
アスラ・参	2.6	490	E	S	D-	C	B-	アスラ・弐／頭パーツを所持	プラントゲイナーx10 ニュード卵x5 ソノチップx10 モノリスＮＳＩx1	350
月影	2.6	450	D-	B	C	C	C+	累計バトル時間140000秒以上もしくは累計スコア24000pt以上	ニュード集積体x2 銀片x15 ソノチップx3	150
月影・新	2.5	460	D-	B	B-	C-	B	月影／頭パーツを所持	ニュード胚x15 カロラチップx1 高磁性アグミナx1	200
月影・暁	2.7	510	D+	B-	C+	C+	C	月影・新／頭パーツを所持	連続勝利章x3 ニュード卵x5 カロラチップx2 ロゼンジ重回路x2	300
月影・烈風	2.5	500	D	A+	C	C-	B-	月影・暁／頭パーツを所持	完全勝利章x3 ニュード融素子x1 ソノチップx5 モノリスＮＳＩx1	400
ガルム67	2.9	480	D-	B+	D-	C-	B+	?	ニュード胚x15 黄金片x10 ハニカム回路x15	150
ガルム68	2.8	520	D	B	C	D+	A	ガルム67／頭パーツを所持	ニュード卵x30 銅片x30 ルミノチップx1	200
ガルム67U	2.9	540	C-	B+	D	C	D+	ガルム68／頭パーツを所持	コアアタッカーx20 ニュード集積体x3 メタモチップx3 誘電ヘリックスx2	300
ガルム70	2.7	550	C-	B-	C	S-	D	ガルム67U／頭パーツを所持	コアアタッカーx30 ニュード群体x5 カロラチップx2 ルミノチップx3	400

■胴部パーツ
○名称	チップ容量	重量	装甲	ブースター	SP供給率	エリア移動	DEF耐久	条件	素材・勲章	GP
クーガーI型	2.6	1250	C+	C+	D+	C+	C-	初期装備	なし	0
クーガーII型	2.5	1300	C+	B	D+	C+	C	クーガーII型／胴パーツを所持	隕鉄塊x5 ニュード卵x15 黄金片x1	10
クーガーS型	1.8	1320	B	C+	C+	C+	D+	累計バトル時間80000秒以上。または17250pt以上、クーガーII型／胴パーツを所持	戦闘勝利章x10 超剛性メタルx3 ニュード素子x10 ソノチップx5	150
クーガーNX	2.5	1350	B-	B+	D	B-	C+	クーガーS型／胴パーツを所持	隕鉄塊x5 ニュード融素子x2 ソノチップx5	350
ツェーブラ38	2.3	1050	C	C-	C	C+	D-	クラスD4で支給	なし	0
ツェーブラ39	2.1	1100	C	A-	D	C+	E+	ツェーブラ38／胴パーツを所持	超剛性メタルx1 ニュード素子x12 銅片x10	50
ツェーブラ41	2.4	1150	C+	E+	A-	C+	C-	ツェーブラ39／胴パーツを所持	超剛性メタルx2 ニュード群体x1 銅片x30	150
ツェーブラ48C	2.4	1170	C	B+	C-	C+	D+	ツェーブラ41／胴パーツを所持	超剛性メタルx1 ニュード卵x15 カロラチップx2	250
エンフォーサーI型	2.0	1130	C	B	D+	B-	D+	クラスB5で支給	なし	0
エンフォーサーII型	2.3	1300	B	B-	D+	C+	C+	エンフォーサーI型／胴パーツを所持	鉛板x10 ニュード集積体x2 銀片x10	50
エンフォーサーIII型	2.7	1250	C	S-	E+	C+	C+	エンフォーサーII型／胴パーツを所持	ウーツ重鋼x3 ニュード胚x15 メタモチップx2	150
エンフォーサーX型	2.8	1280	B-	B	D-	A-	C+	エンフォーサーIII型／胴パーツを所持	チタン鋼x10 ニュード集積体x3 モノリスＮＳＩx1	250
E.D.G.－α	3.2	1250	D-	D	B+	A+	B	累計バトル時間66000秒以上。または9000pt以上。	チタン鋼x3 ニュード胚x20 メタモチップx1	50
E.D.G.－β	3.2	1280	D-	C+	C+	A+	B-	E.D.G.-α／胴パーツを所持	鉛板x30 ニュード集積体x2 ソノチップx1	100
E.D.G.－δ	1.5	1250	D-	E	A+	A+	D+	E.D.G.-β／胴パーツを所持	ウーツ重鋼x7 ニュード素子x10 銅片x15	200
E.D.G.－θ	2.3	1190	D+	B	C-	A+	C	E.D.G.-δ／胴パーツ購入	奇襲章x3 ウーツ重鋼x3 ニュード胚x10 モノリスＮＳＩx2	300
ディスカス・プロト	2.0	1280	B	C-	C+	C+	C-	累計バトル時間36000秒以上。または7875pt以上。	超剛性メタルx1 ニュード卵x15 黄金片x10	50
ディスカス・ダート	2.5	1240	C+	B-	D+	B	C-	ディスカス・プロト／胴パーツを所持	隕鉄塊x10 ニュード胚x15 メタモチップx2	100
ディスカス・ノヴァ	2.1	1380	B+	D+	B+	C+	C	ディスカス・ダート／胴パーツを所持	複層重合金属x1 ニュード群体x5 銅片x10	200
ディスカス・エヴォル	1.7	1330	B	B+	C	C+	D+	ディスカス・ノヴァ／胴パーツを所持	ベースガード/金x3 超剛性メタルx3 ニュード融素子x1 ソノチップx5	300
ネレイド45	2.5	1200	C	B+	D	B+	C+	クラスB5で支給	なし	0
ネレイド45改	2.4	1220	C	C+	C	B+	C+	ネレイド45／胴パーツを所持	鉛板x15 ニュード群体x5 銀片x5	50
